{'name': 'outside', 'temp': 13.5, 'time': '00:03:30'},
{'name': 'inside', 'temp': 19.312, 'time': '00:03:30'},
{'name': 'inside_floor', 'temp': 18.75, 'time': '00:03:30'},
{'name': 'outside', 'temp': 13.375, 'time': '00:13:35'},
{'name': 'inside', 'temp': 19.25, 'time': '00:13:35'},
{'name': 'inside_floor', 'temp': 18.687, 'time': '00:13:35'},
{'name': 'outside', 'temp': 13.375, 'time': '00:23:39'},
{'name': 'inside', 'temp': 19.125, 'time': '00:23:39'},
{'name': 'inside_floor', 'temp': 18.5, 'time': '00:23:39'},
{'name': 'outside', 'temp': 13.312, 'time': '00:33:44'},
{'name': 'inside', 'temp': 19.0, 'time': '00:33:44'},
{'name': 'inside_floor', 'temp': 18.437, 'time': '00:33:44'},
{'name': 'outside', 'temp': 13.312, 'time': '00:43:49'},
{'name': 'inside', 'temp': 18.937, 'time': '00:43:49'},
{'name': 'inside_floor', 'temp': 18.5, 'time': '00:43:49'},
{'name': 'outside', 'temp': 13.187, 'time': '00:53:54'},
{'name': 'inside', 'temp': 18.75, 'time': '00:53:54'},
{'name': 'inside_floor', 'temp': 18.312, 'time': '00:53:54'},
{'name': 'outside', 'temp': 13.25, 'time': '01:03:59'},
{'name': 'inside', 'temp': 18.625, 'time': '01:03:59'},
{'name': 'inside_floor', 'temp': 18.312, 'time': '01:03:59'},
{'name': 'outside', 'temp': 13.437, 'time': '01:14:03'},
{'name': 'inside', 'temp': 18.562, 'time': '01:14:03'},
{'name': 'inside_floor', 'temp': 18.25, 'time': '01:14:03'},
{'name': 'outside', 'temp': 13.625, 'time': '01:24:08'},
{'name': 'inside', 'temp': 18.562, 'time': '01:24:08'},
{'name': 'inside_floor', 'temp': 18.187, 'time': '01:24:08'},
{'name': 'outside', 'temp': 13.625, 'time': '01:34:13'},
{'name': 'inside', 'temp': 18.562, 'time': '01:34:13'},
{'name': 'inside_floor', 'temp': 18.125, 'time': '01:34:13'},
{'name': 'outside', 'temp': 13.5, 'time': '01:44:18'},
{'name': 'inside', 'temp': 18.5, 'time': '01:44:18'},
{'name': 'inside_floor', 'temp': 18.125, 'time': '01:44:18'},
{'name': 'outside', 'temp': 13.625, 'time': '01:54:22'},
{'name': 'inside', 'temp': 18.437, 'time': '01:54:22'},
{'name': 'inside_floor', 'temp': 18.125, 'time': '01:54:22'},
{'name': 'outside', 'temp': 13.687, 'time': '02:04:27'},
{'name': 'inside', 'temp': 18.375, 'time': '02:04:27'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '02:04:27'},
{'name': 'outside', 'temp': 13.812, 'time': '02:14:32'},
{'name': 'inside', 'temp': 18.375, 'time': '02:14:32'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '02:14:32'},
{'name': 'outside', 'temp': 13.812, 'time': '02:24:37'},
{'name': 'inside', 'temp': 18.375, 'time': '02:24:37'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '02:24:37'},
{'name': 'outside', 'temp': 13.812, 'time': '02:34:42'},
{'name': 'inside', 'temp': 18.25, 'time': '02:34:42'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '02:34:42'},
{'name': 'outside', 'temp': 13.687, 'time': '02:44:47'},
{'name': 'inside', 'temp': 18.187, 'time': '02:44:47'},
{'name': 'inside_floor', 'temp': 17.875, 'time': '02:44:47'},
{'name': 'outside', 'temp': 13.75, 'time': '02:54:51'},
{'name': 'inside', 'temp': 18.125, 'time': '02:54:51'},
{'name': 'inside_floor', 'temp': 17.812, 'time': '02:54:51'},
{'name': 'outside', 'temp': 13.875, 'time': '03:04:56'},
{'name': 'inside', 'temp': 18.125, 'time': '03:04:56'},
{'name': 'inside_floor', 'temp': 17.75, 'time': '03:04:56'},
{'name': 'outside', 'temp': 13.75, 'time': '03:15:01'},
{'name': 'inside', 'temp': 18.125, 'time': '03:15:01'},
{'name': 'inside_floor', 'temp': 17.812, 'time': '03:15:01'},
{'name': 'outside', 'temp': 13.812, 'time': '03:25:06'},
{'name': 'inside', 'temp': 18.125, 'time': '03:25:06'},
{'name': 'inside_floor', 'temp': 17.75, 'time': '03:25:06'},
{'name': 'outside', 'temp': 13.687, 'time': '03:35:11'},
{'name': 'inside', 'temp': 17.937, 'time': '03:35:11'},
{'name': 'inside_floor', 'temp': 17.75, 'time': '03:35:11'},
{'name': 'outside', 'temp': 13.75, 'time': '03:45:15'},
{'name': 'inside', 'temp': 17.937, 'time': '03:45:15'},
{'name': 'inside_floor', 'temp': 17.625, 'time': '03:45:15'},
{'name': 'outside', 'temp': 13.75, 'time': '03:55:20'},
{'name': 'inside', 'temp': 17.875, 'time': '03:55:20'},
{'name': 'inside_floor', 'temp': 17.625, 'time': '03:55:20'},
{'name': 'outside', 'temp': 13.875, 'time': '04:05:25'},
{'name': 'inside', 'temp': 17.812, 'time': '04:05:25'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '04:05:25'},
{'name': 'outside', 'temp': 14.0, 'time': '04:15:30'},
{'name': 'inside', 'temp': 17.812, 'time': '04:15:30'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '04:15:30'},
{'name': 'outside', 'temp': 14.125, 'time': '04:25:34'},
{'name': 'inside', 'temp': 17.875, 'time': '04:25:34'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '04:25:34'},
{'name': 'outside', 'temp': 14.25, 'time': '04:35:39'},
{'name': 'inside', 'temp': 17.812, 'time': '04:35:39'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '04:35:39'},
{'name': 'outside', 'temp': 14.5, 'time': '04:45:44'},
{'name': 'inside', 'temp': 17.812, 'time': '04:45:44'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '04:45:44'},
{'name': 'outside', 'temp': 14.687, 'time': '04:55:49'},
{'name': 'inside', 'temp': 17.812, 'time': '04:55:49'},
{'name': 'inside_floor', 'temp': 17.625, 'time': '04:55:49'},
{'name': 'outside', 'temp': 15.0, 'time': '05:05:54'},
{'name': 'inside', 'temp': 17.812, 'time': '05:05:54'},
{'name': 'inside_floor', 'temp': 17.625, 'time': '05:05:54'},
{'name': 'outside', 'temp': 15.187, 'time': '05:15:59'},
{'name': 'inside', 'temp': 17.812, 'time': '05:15:59'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '05:15:59'},
{'name': 'outside', 'temp': 15.25, 'time': '05:26:03'},
{'name': 'inside', 'temp': 17.812, 'time': '05:26:03'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '05:26:03'},
{'name': 'outside', 'temp': 15.437, 'time': '05:36:08'},
{'name': 'inside', 'temp': 17.937, 'time': '05:36:08'},
{'name': 'inside_floor', 'temp': 17.625, 'time': '05:36:08'},
{'name': 'outside', 'temp': 15.687, 'time': '05:46:13'},
{'name': 'inside', 'temp': 17.875, 'time': '05:46:13'},
{'name': 'inside_floor', 'temp': 17.562, 'time': '05:46:13'},
{'name': 'outside', 'temp': 15.625, 'time': '05:56:18'},
{'name': 'inside', 'temp': 17.937, 'time': '05:56:18'},
{'name': 'inside_floor', 'temp': 17.625, 'time': '05:56:18'}
