{'name': 'outside', 'temp': 17.937, 'time': '00:00:47'},
{'name': 'inside', 'temp': 21.812, 'time': '00:00:47'},
{'name': 'inside_floor', 'temp': 20.25, 'time': '00:00:47'},
{'name': 'outside', 'temp': 18.0, 'time': '00:10:53'},
{'name': 'inside', 'temp': 21.875, 'time': '00:10:53'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '00:10:53'},
{'name': 'outside', 'temp': 18.062, 'time': '00:20:58'},
{'name': 'inside', 'temp': 22.0, 'time': '00:20:58'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '00:20:58'},
{'name': 'outside', 'temp': 18.125, 'time': '00:31:03'},
{'name': 'inside', 'temp': 22.0, 'time': '00:31:03'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '00:31:03'},
{'name': 'outside', 'temp': 18.25, 'time': '00:41:08'},
{'name': 'inside', 'temp': 22.062, 'time': '00:41:08'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '00:41:08'},
{'name': 'outside', 'temp': 18.062, 'time': '00:51:13'},
{'name': 'inside', 'temp': 21.937, 'time': '00:51:13'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '00:51:13'},
{'name': 'outside', 'temp': 17.875, 'time': '01:01:18'},
{'name': 'inside', 'temp': 22.0, 'time': '01:01:18'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '01:01:18'},
{'name': 'outside', 'temp': 17.75, 'time': '01:11:23'},
{'name': 'inside', 'temp': 22.125, 'time': '01:11:23'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '01:11:23'},
{'name': 'outside', 'temp': 17.5, 'time': '01:21:28'},
{'name': 'inside', 'temp': 22.125, 'time': '01:21:28'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '01:21:28'},
{'name': 'outside', 'temp': 17.375, 'time': '01:31:33'},
{'name': 'inside', 'temp': 22.125, 'time': '01:31:33'},
{'name': 'inside_floor', 'temp': 20.187, 'time': '01:31:33'},
{'name': 'outside', 'temp': 17.187, 'time': '01:41:37'},
{'name': 'inside', 'temp': 22.062, 'time': '01:41:37'},
{'name': 'inside_floor', 'temp': 20.125, 'time': '01:41:37'},
{'name': 'outside', 'temp': 17.0, 'time': '01:51:42'},
{'name': 'inside', 'temp': 22.125, 'time': '01:51:42'},
{'name': 'inside_floor', 'temp': 20.125, 'time': '01:51:42'},
{'name': 'outside', 'temp': 16.812, 'time': '02:01:47'},
{'name': 'inside', 'temp': 22.125, 'time': '02:01:47'},
{'name': 'inside_floor', 'temp': 20.125, 'time': '02:01:47'},
{'name': 'outside', 'temp': 16.687, 'time': '02:11:53'},
{'name': 'inside', 'temp': 22.187, 'time': '02:11:53'},
{'name': 'inside_floor', 'temp': 20.125, 'time': '02:11:53'},
{'name': 'outside', 'temp': 16.562, 'time': '02:21:58'},
{'name': 'inside', 'temp': 22.187, 'time': '02:21:58'},
{'name': 'inside_floor', 'temp': 20.125, 'time': '02:21:58'},
{'name': 'outside', 'temp': 16.625, 'time': '02:32:03'},
{'name': 'inside', 'temp': 22.187, 'time': '02:32:03'},
{'name': 'inside_floor', 'temp': 20.062, 'time': '02:32:03'},
{'name': 'outside', 'temp': 16.687, 'time': '02:42:07'},
{'name': 'inside', 'temp': 22.187, 'time': '02:42:07'},
{'name': 'inside_floor', 'temp': 20.062, 'time': '02:42:07'}
