{'name': 'outside', 'temp': 16.437, 'time': '00:09:27'},
{'name': 'inside', 'temp': 23.062, 'time': '00:09:27'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '00:09:27'},
{'name': 'outside', 'temp': 16.5, 'time': '00:19:32'},
{'name': 'inside', 'temp': 23.062, 'time': '00:19:32'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '00:19:32'},
{'name': 'outside', 'temp': 16.375, 'time': '00:29:37'},
{'name': 'inside', 'temp': 23.0, 'time': '00:29:37'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '00:29:37'},
{'name': 'outside', 'temp': 16.437, 'time': '00:39:41'},
{'name': 'inside', 'temp': 22.875, 'time': '00:39:41'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '00:39:41'},
{'name': 'outside', 'temp': 16.5, 'time': '00:49:46'},
{'name': 'inside', 'temp': 22.75, 'time': '00:49:46'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '00:49:46'},
{'name': 'outside', 'temp': 16.375, 'time': '00:59:51'},
{'name': 'inside', 'temp': 22.687, 'time': '00:59:51'},
{'name': 'inside_floor', 'temp': 18.812, 'time': '00:59:51'},
{'name': 'outside', 'temp': 16.25, 'time': '01:09:55'},
{'name': 'inside', 'temp': 22.562, 'time': '01:09:55'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '01:09:55'},
{'name': 'outside', 'temp': 16.25, 'time': '01:20:00'},
{'name': 'inside', 'temp': 22.5, 'time': '01:20:00'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '01:20:00'},
{'name': 'outside', 'temp': 16.125, 'time': '01:30:05'},
{'name': 'inside', 'temp': 22.5, 'time': '01:30:05'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '01:30:05'},
{'name': 'outside', 'temp': 16.062, 'time': '01:40:10'},
{'name': 'inside', 'temp': 22.437, 'time': '01:40:10'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '01:40:10'},
{'name': 'outside', 'temp': 16.062, 'time': '01:50:14'},
{'name': 'inside', 'temp': 22.437, 'time': '01:50:14'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '01:50:14'},
{'name': 'outside', 'temp': 16.062, 'time': '02:00:19'},
{'name': 'inside', 'temp': 22.562, 'time': '02:00:19'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '02:00:19'},
{'name': 'outside', 'temp': 16.0, 'time': '02:10:24'},
{'name': 'inside', 'temp': 22.625, 'time': '02:10:24'},
{'name': 'inside_floor', 'temp': 18.812, 'time': '02:10:24'},
{'name': 'outside', 'temp': 15.875, 'time': '02:20:29'},
{'name': 'inside', 'temp': 22.625, 'time': '02:20:29'},
{'name': 'inside_floor', 'temp': 18.812, 'time': '02:20:29'},
{'name': 'outside', 'temp': 15.937, 'time': '02:30:34'},
{'name': 'inside', 'temp': 22.562, 'time': '02:30:34'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '02:30:34'},
{'name': 'outside', 'temp': 15.812, 'time': '02:40:38'},
{'name': 'inside', 'temp': 22.437, 'time': '02:40:38'},
{'name': 'inside_floor', 'temp': 18.812, 'time': '02:40:38'},
{'name': 'outside', 'temp': 15.875, 'time': '02:50:43'},
{'name': 'inside', 'temp': 22.312, 'time': '02:50:43'},
{'name': 'inside_floor', 'temp': 18.812, 'time': '02:50:43'},
{'name': 'outside', 'temp': 15.937, 'time': '03:00:48'},
{'name': 'inside', 'temp': 22.312, 'time': '03:00:48'},
{'name': 'inside_floor', 'temp': 18.812, 'time': '03:00:48'},
{'name': 'outside', 'temp': 15.875, 'time': '03:10:53'},
{'name': 'inside', 'temp': 22.25, 'time': '03:10:53'},
{'name': 'inside_floor', 'temp': 18.812, 'time': '03:10:53'},
{'name': 'outside', 'temp': 15.812, 'time': '03:20:58'},
{'name': 'inside', 'temp': 22.187, 'time': '03:20:58'},
{'name': 'inside_floor', 'temp': 18.75, 'time': '03:20:58'},
{'name': 'outside', 'temp': 15.75, 'time': '03:31:02'},
{'name': 'inside', 'temp': 22.187, 'time': '03:31:02'},
{'name': 'inside_floor', 'temp': 18.75, 'time': '03:31:02'}
